{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 6 is active with driver 3'}
{'level':'info','time':'2024-12-16 14:00:00','message':'Bus 7 is active with driver 2'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 1 has coming to Stop I. Passengers: +5, -3. Load: 28/100.'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 2 has coming to Stop J. Passengers: +3, -0. Load: 41/150.'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 3 has coming to Stop J. Passengers: +2, -0. Load: 22/150.'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 4 has coming to Stop J. Passengers: +1, -3. Load: 31/80.'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 5 has coming to Stop A. Passengers: +8, -10. Load: 36/110.'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 6 has coming to Stop A. Passengers: +7, -1. Load: 38/90.'}
{'level':'info','time':'2024-12-16 14:01:00','message':'Bus 7 has coming to Stop B. Passengers: +2, -13. Load: 30/85.'}
{'level':'info','time':'2024-12-16 14:08:00','message':'Bus 5 has coming to Stop B. Passengers: +3, -7. Load: 32/110.'}
{'level':'info','time':'2024-12-16 14:08:00','message':'Bus 6 has coming to Stop B. Passengers: +0, -10. Load: 28/90.'}
{'level':'info','time':'2024-12-16 14:10:00','message':'Bus 2 has coming to Stop A. Passengers: +9, -16. Load: 34/150.'}
{'level':'info','time':'2024-12-16 14:10:00','message':'Bus 3 has coming to Stop A. Passengers: +7, -6. Load: 23/150.'}
{'level':'info','time':'2024-12-16 14:10:00','message':'Bus 4 has coming to Stop A. Passengers: +6, -7. Load: 30/80.'}
{'level':'info','time':'2024-12-16 14:10:00','message':'Bus 7 has coming to Stop C. Passengers: +11, -9. Load: 32/85.'}
{'level':'info','time':'2024-12-16 14:12:00','message':'Bus 1 has coming to Stop J. Passengers: +6, -0. Load: 34/100.'}
{'level':'info','time':'2024-12-16 14:17:00','message':'Bus 2 has coming to Stop B. Passengers: +7, -4. Load: 37/150.'}
{'level':'info','time':'2024-12-16 14:17:00','message':'Bus 3 has coming to Stop B. Passengers: +5, -4. Load: 24/150.'}
{'level':'info','time':'2024-12-16 14:17:00','message':'Bus 4 has coming to Stop B. Passengers: +4, -9. Load: 25/80.'}
{'level':'info','time':'2024-12-16 14:17:00','message':'Bus 5 has coming to Stop C. Passengers: +7, -9. Load: 30/110.'}
{'level':'info','time':'2024-12-16 14:17:00','message':'Bus 6 has coming to Stop C. Passengers: +6, -10. Load: 24/90.'}
{'level':'info','time':'2024-12-16 14:18:00','message':'Bus 7 has coming to Stop D. Passengers: +6, -4. Load: 34/85.'}
{'level':'info','time':'2024-12-16 14:21:00','message':'Bus 1 has coming to Stop A. Passengers: +12, -1. Load: 45/100.'}
